Concept,Description,Cleaned_Description,References,Sentences,KeyWords_KeyBert,Synonyms_SBert,KeyWords_SBert
 Use Agreed Upon Approach,"The process is based on an agreed-upon approach to this assessment that is applied across all of the identified risks in any project. By the nature of project risk, all risks may be assessed according to probability of occurrence and impact on individual objectives should the risk occur. Other factors may be considered in determining the importance of a risk as follows Urgency proximity. Risks requiring near term responses may be considered more urgent to address. Indicators of urgency can include the lead time necessary to execute a risk response and the clarity of symptoms and warning signs also known as detectability that may trigger the response. Manageability. Some risks are not manageable and it would be a waste of resources to attempt to address them. The project team may examine these and decide to Go forward, perhaps establishing a contingency reserve. Stop or re-scope the project because these risks pose an unmanageable threat or an opportunity that should not be missed with high probability and consequences. Inform the customer of the risks and ask for a decision from their point of view. Impact external to the project. A risk may increase in importance if it affects the enterprise beyond the project.",process based agreed-upon approach assessment applied across identified risks project. nature project risk risks may assessed according probability occurrence impact individual objectives risk occur. factors may considered determining importance risk follows urgency proximity. risks requiring near term responses may considered urgent address. indicators urgency include lead time necessary execute risk response clarity symptoms warning signs also known detectability may trigger response. manageability. risks manageable would waste resources attempt address them. project team may examine decide go forward perhaps establishing contingency reserve. stop re-scope project risks pose unmanageable threat opportunity missed high probability consequences. inform customer risks ask decision point view. impact external project. risk may increase importance affects enterprise beyond project.,[],"['process based agreed-upon approach assessment applied across identified risk project', 'nature project risk risk may assessed according probability occurrence impact individual objective risk occur', 'factor may considered determining importance risk follows urgency proximity', 'risk requiring near term response may considered urgent address', 'indicator urgency include lead time necessary execute risk response clarity symptom warning sign also known detectability may trigger response', 'manageability', 'risk manageable would waste resource attempt address them', 'project team may examine decide go forward perhaps establishing contingency reserve', 'stop re-scope project risk pose unmanageable threat opportunity missed high probability consequence', 'inform customer risk ask decision point view', 'impact external project', 'risk may increase importance affect enterprise beyond project']","['identified risks project', 'project risks pose unmanageable', 'project risks', 'project risk risks assessed', 'project risk risks', 'applied identified risks project', 'risks project nature', 'project risks pose', 'identified risks project nature', 'project risk']",[],"['identified risks project', 'project risks pose unmanageable', 'project risks', 'project risk risks assessed', 'project risk risks', 'applied identified risks project', 'risks project nature', 'project risks pose', 'identified risks project nature', 'project risk']"
 Use Agreed Upon Definitions of Risk Terms,"The risk assessment should be based on agreed-upon definitions of important terms, and those definitions should be used consistently when assessing each risk. The use of definitions, for example, of levels of probability and of impact on objectives, assists the providers of the information in giving realistic assessments for each risk, and facilitates the communication of the results to management and other stakeholders. 3",risk assessment based agreed-upon definitions important terms definitions used consistently assessing risk. use definitions example levels probability impact objectives assists providers information giving realistic assessments risk facilitates communication results management stakeholders. 3,[],"['risk assessment based agreed-upon definition important term definition used consistently assessing risk', 'use definition example level probability impact objective assist provider information giving realistic assessment risk facilitates communication result management stakeholder']","['realistic assessments risk facilitates', 'risk assessment', 'assessments risk facilitates', 'risk assessment based agreed', 'giving realistic assessments risk', 'used consistently assessing risk', 'risk assessment based', 'assessing risk use definitions', 'realistic assessments risk', 'assessments risk']",[],"['realistic assessments risk facilitates', 'risk assessment', 'assessments risk facilitates', 'risk assessment based agreed', 'giving realistic assessments risk', 'used consistently assessing risk', 'risk assessment based', 'assessing risk use definitions', 'realistic assessments risk', 'assessments risk']"
 Collect High Quality Information about Risks,"Collection of high-quality information about risks is required. Often this information is not available in any historic database and should be gathered by interviews, workshops, and other means using expert judgment. Data gathered from individuals may be subject to reporting or intentional bias. When this occurs, the bias should be identified and remedied where possible, or a different, unbiased source of information should be found and used.",collection high-quality information risks required. often information available historic database gathered interviews workshops means using expert judgment. data gathered individuals may subject reporting intentional bias. occurs bias identified remedied possible different unbiased source information found used.,[],"['collection high-quality information risk required', 'often information available historic database gathered interview workshop mean using expert judgment', 'data gathered individual may subject reporting intentional bias', 'occurs bias identified remedied possible different unbiased source information found used']","['data gathered individuals', 'gathered individuals subject reporting', 'data gathered', 'database gathered interviews', 'database gathered interviews workshops', 'unbiased source information used', 'gathered interviews', 'historic database gathered interviews', 'unbiased source information', 'gathered interviews workshops']",[],"['data gathered individuals', 'gathered individuals subject reporting', 'data gathered', 'database gathered interviews', 'database gathered interviews workshops', 'unbiased source information used', 'gathered interviews', 'historic database gathered interviews', 'unbiased source information', 'gathered interviews workshops']"
 Perform Iterative Qualitative Risk Analysis,"The success of qualitative risk analysis is enhanced if the process is used periodically throughout the project. It is impossible to know in advance all the risks that may occur in a project, therefore the Identify Risks and Perform Qualitative Analysis processes should be repeated periodically for individual risks. The frequency of this effort will be planned in the Plan Risk Management process, but may also depend on events within the project itself.",success qualitative risk analysis enhanced process used periodically throughout project. impossible know advance risks may occur project therefore identify risks perform qualitative analysis processes repeated periodically individual risks. frequency effort planned plan risk management process may also depend events within project itself.,[],"['success qualitative risk analysis enhanced process used periodically throughout project', 'impossible know advance risk may occur project therefore identify risk perform qualitative analysis process repeated periodically individual risk', 'frequency effort planned plan risk management process may also depend event within project itself']","['plan risk management process', 'project identify risks perform', 'risks occur project', 'qualitative risk analysis', 'success qualitative risk analysis', 'qualitative risk analysis enhanced', 'risk management process', 'project identify risks', 'risks occur project identify', 'risks perform qualitative analysis']","['qualitative risk analysis', 'qualitative risk analysis enhanced']","['plan risk management process', 'project identify risks perform', 'risks occur project', 'success qualitative risk analysis', 'risk management process', 'project identify risks', 'risks occur project identify', 'risks perform qualitative analysis']"
 Tools and Techniques for the Perform Qualitative Risk Analysis Process,The tools and techniques used for assessing individual risks will identify the risks that are important to the projects success. This process is illustrated in Figure 6-2. 3,tools techniques used assessing individual risks identify risks important projects success. process illustrated figure 6-2. 3,['https://i.ibb.co/p4yDNdh/page-45-png-roi-0-0-93.jpg'],"['tool technique used assessing individual risk identify risk important project success', 'process illustrated figure 6-2. 3']","['identify risks important', 'assessing individual risks', 'used assessing individual risks', 'assessing individual risks identify', 'identify risks', 'risks important projects success', 'individual risks identify risks', 'risks important projects', 'individual risks identify', 'identify risks important projects']",[],"['identify risks important', 'assessing individual risks', 'used assessing individual risks', 'assessing individual risks identify', 'identify risks', 'risks important projects success', 'individual risks identify risks', 'risks important projects', 'individual risks identify', 'identify risks important projects']"
 Select Risk Characteristics that Define Risks Importance,"Qualitative risk analysis tools provide ways to distinguish those risks that are important for response or further analysis from those that are less important. The criteria that make a risk of interest to management are agreed upon in advance and implemented in the tools used. Output from qualitative risk analysis tools includes a listing of risks in priority order or in priority groups e.g., high, moderate, and low. The tools for qualitative risk analysis allow the organization or project stakeholders to specify those levels or combinations of risk characteristics that make a particular risk of interest to management. Most tools assess a risks importance from a combination of probability of occurrence and degree of impact on objectives.",qualitative risk analysis tools provide ways distinguish risks important response analysis less important. criteria make risk interest management agreed upon advance implemented tools used. output qualitative risk analysis tools includes listing risks priority order priority groups example. high moderate low. tools qualitative risk analysis allow organization project stakeholders specify levels combinations risk characteristics make particular risk interest management. tools assess risks importance combination probability occurrence degree impact objectives.,[],"['qualitative risk analysis tool provide way distinguish risk important response analysis le important', 'criterion make risk interest management agreed upon advance implemented tool used', 'output qualitative risk analysis tool includes listing risk priority order priority group example', 'high moderate low', 'tool qualitative risk analysis allow organization project stakeholder specify level combination risk characteristic make particular risk interest management', 'tool ass risk importance combination probability occurrence degree impact objective']","['management tools assess risks', 'risk analysis tools provide', 'qualitative risk analysis', 'qualitative risk analysis allow', 'qualitative risk analysis tools', 'tools assess risks importance', 'tools qualitative risk analysis', 'tools assess risks', 'tools qualitative risk', 'risk analysis tools includes']",[],"['management tools assess risks', 'risk analysis tools provide', 'qualitative risk analysis', 'qualitative risk analysis allow', 'qualitative risk analysis tools', 'tools assess risks importance', 'tools qualitative risk analysis', 'tools assess risks', 'tools qualitative risk', 'risk analysis tools includes']"
 Collect and Analyze Data,"Assessment of individual risks is based on information collected about them. Therefore, data collection and evaluation tools, including interviews, workshops, and references to databases of prior projects, require management support and attention. It is important to protect against bias in data gathering, which is important when relying on expert judgment for the information.",assessment individual risks based information collected them. therefore data collection evaluation tools including interviews workshops references databases prior projects require management support attention. important protect bias data gathering important relying expert judgment information.,[],"['assessment individual risk based information collected them', 'therefore data collection evaluation tool including interview workshop reference database prior project require management support attention', 'important protect bias data gathering important relying expert judgment information']","['data collection evaluation', 'assessment individual risks', 'individual risks based information', 'assessment individual risks based', 'data collection evaluation tools', 'risks based', 'individual risks', 'risks based information', 'individual risks based', 'risks based information collected']",[],"['data collection evaluation', 'assessment individual risks', 'individual risks based information', 'assessment individual risks based', 'data collection evaluation tools', 'risks based', 'individual risks', 'risks based information', 'individual risks based', 'risks based information collected']"
 Prioritize Risks by Probability and Impact on Specific Objectives,Some tools permit distinguishing a risks priority in terms of the affected objective. This capability provides a list of risks that are important for any specific objective of interest to management. This is useful since it is common for risks to have uneven impacts on various project objectives.,tools permit distinguishing risks priority terms affected objective. capability provides list risks important specific objective interest management. useful since common risks uneven impacts various project objectives.,[],"['tool permit distinguishing risk priority term affected objective', 'capability provides list risk important specific objective interest management', 'useful since common risk uneven impact various project objective']","['capability provides list risks', 'provides list risks important', 'affected objective capability provides', 'list risks important specific', 'objective capability provides', 'distinguishing risks priority terms', 'risks priority terms', 'list risks important', 'tools permit distinguishing risks', 'risks important specific objective']",[],"['capability provides list risks', 'provides list risks important', 'affected objective capability provides', 'list risks important specific', 'objective capability provides', 'distinguishing risks priority terms', 'risks priority terms', 'list risks important', 'tools permit distinguishing risks', 'risks important specific objective']"
 Prioritize Risks by Probability and Impact on Overall Project,"There are reasons for constructing a measure of a specific risks importance to the entire project as contrasted with its importance to specific objectives. A common reason is for ease of communication with management and other stakeholders. When a single risk prioritization index is needed, the organization should be explicit about how that index is created. Usually the index re ects the organizations preference among objectives. The technique for creating the overall risk priority measure should be documented in the Plan Risk Management process. 3",reasons constructing measure specific risks importance entire project contrasted importance specific objectives. common reason ease communication management stakeholders. single risk prioritization index needed organization explicit index created. usually index ects organizations preference among objectives. technique creating overall risk priority measure documented plan risk management process. 3,[],"['reason constructing measure specific risk importance entire project contrasted importance specific objective', 'common reason ease communication management stakeholder', 'single risk prioritization index needed organization explicit index created', 'usually index ect organization preference among objective', 'technique creating overall risk priority measure documented plan risk management process']","['risk priority measure', 'plan risk management process', 'creating overall risk priority', 'risk prioritization index', 'measure specific risks importance', 'risk prioritization index needed', 'risks importance entire project', 'overall risk priority measure', 'risk management process', 'stakeholders single risk prioritization']",[],"['risk priority measure', 'plan risk management process', 'creating overall risk priority', 'risk prioritization index', 'measure specific risks importance', 'risk prioritization index needed', 'risks importance entire project', 'overall risk priority measure', 'risk management process', 'stakeholders single risk prioritization']"
 Categorize Risk Causes,"Categorizing risks appropriately may lead to improved analysis of the probability and magnitude of project risk and to effective responses. Understanding the relationships between risks may provide a better understanding of the possibility and magnitude of project risk than if risks are only considered as separate and independent events. Identifying common root causes of a group of risks, for instance, may reveal both the magnitude of the risk event for the group as a whole along with effective strategies that might address several risks simultaneously. Alternatively, some risks may be linked with others in a causal chain, and understanding the chain of risks may lead to a better understanding of the implication of risk for the project. Identifying risks that can occur at the same time or using the same resources for recovery might provide a realistic picture of problems of risk mitigation using scarce resources. Combining the results of the Perform Qualitative Risk Analysis process with the risk breakdown structure see Identify Risks, Chapter 5 can show clusters of priority risks arising from specific sources. A combination of the risk analysis information with the work breakdown structure WBS can show which areas of the project exhibit the most risk. Assessing the high-priority risks impact on one objective, such as the schedule, may indicate which activities to address to reduce that objectives uncertainty. All of these approaches can contribute to the realism and usefulness of the qualitative risk analysis.",categorizing risks appropriately may lead improved analysis probability magnitude project risk effective responses. understanding relationships risks may provide better understanding possibility magnitude project risk risks considered separate independent events. identifying common root causes group risks instance may reveal magnitude risk event group whole along effective strategies might address several risks simultaneously. alternatively risks may linked others causal chain understanding chain risks may lead better understanding implication risk project. identifying risks occur time using resources recovery might provide realistic picture problems risk mitigation using scarce resources. combining results perform qualitative risk analysis process risk breakdown structure see identify risks chapter 5 show clusters priority risks arising specific sources. combination risk analysis information work breakdown structure wbs show areas project exhibit risk. assessing high-priority risks impact one objective schedule may indicate activities address reduce objectives uncertainty. approaches contribute realism usefulness qualitative risk analysis.,[],"['categorizing risk appropriately may lead improved analysis probability magnitude project risk effective response', 'understanding relationship risk may provide better understanding possibility magnitude project risk risk considered separate independent event', 'identifying common root cause group risk instance may reveal magnitude risk event group whole along effective strategy might address several risk simultaneously', 'alternatively risk may linked others causal chain understanding chain risk may lead better understanding implication risk project', 'identifying risk occur time using resource recovery might provide realistic picture problem risk mitigation using scarce resource', 'combining result perform qualitative risk analysis process risk breakdown structure see identify risk chapter 5 show cluster priority risk arising specific source', 'combination risk analysis information work breakdown structure wb show area project exhibit risk', 'assessing high-priority risk impact one objective schedule may indicate activity address reduce objective uncertainty', 'approach contribute realism usefulness qualitative risk analysis']","['implication risk project identifying', 'project identifying risks occur', 'risk project identifying', 'project risk risks considered', 'risk project identifying risks', 'project risk risks', 'risk analysis process risk', 'project risk effective responses', 'project identifying risks', 'project risk']",[],"['implication risk project identifying', 'project identifying risks occur', 'risk project identifying', 'project risk risks considered', 'risk project identifying risks', 'project risk risks', 'risk analysis process risk', 'project risk effective responses', 'project identifying risks', 'project risk']"
 Document the Results of the Perform Qualitative Risk Analysis Process,"The Perform Qualitative Risk Analysis process adds structure to the list of undifferentiated risks see Identify Risks, Chapter 5 into categories of priority. Priorities are usually based on the risks probability of occurring and its potential impact on specific project objectives or on the whole project. Each identified risk is assigned a priority, perhaps by objective or for the entire project. This information is usually stored in the risk register which is easy to use and update with new information. The risk register list of prioritized risks is posted to the project participants who are responsible for further analysis or action to improve the project plan. Risks that are judged to have high priority are segregated for further analysis and response planning and are generally monitored frequently. Risks of low priority to the project may be placed on a watch list and are reviewed less often for changes in their status. 3",perform qualitative risk analysis process adds structure list undifferentiated risks see identify risks chapter 5 categories priority. priorities usually based risks probability occurring potential impact specific project objectives whole project. identified risk assigned priority perhaps objective entire project. information usually stored risk register easy use update new information. risk register list prioritized risks posted project participants responsible analysis action improve project plan. risks judged high priority segregated analysis response planning generally monitored frequently. risks low priority project may placed watch list reviewed less often changes status. 3,[],"['perform qualitative risk analysis process add structure list undifferentiated risk see identify risk chapter 5 category priority', 'priority usually based risk probability occurring potential impact specific project objective whole project', 'identified risk assigned priority perhaps objective entire project', 'information usually stored risk register easy use update new information', 'risk register list prioritized risk posted project participant responsible analysis action improve project plan', 'risk judged high priority segregated analysis response planning generally monitored frequently', 'risk low priority project may placed watch list reviewed le often change status']","['qualitative risk analysis process', 'project identified risk assigned', 'qualitative risk analysis', 'perform qualitative risk analysis', 'risk analysis process', 'prioritized risks posted project', 'objectives project identified risk', 'list prioritized risks', 'project identified risk', 'project plan risks judged']","['qualitative risk analysis process', 'qualitative risk analysis', 'perform qualitative risk analysis']","['project identified risk assigned', 'risk analysis process', 'prioritized risks posted project', 'objectives project identified risk', 'list prioritized risks', 'project identified risk', 'project plan risks judged']"
 PERFORM QUANTITATIVE RISK ANALYSIS,"The Perform Quantitative Risk Analysis process provides a numerical estimate of the overall effect of risk on the objectives of the project, based on current plans and information, when considering risks simultaneously. Results from this type of analysis can be used to evaluate the likelihood of success in achieving project objectives and to estimate contingency reserves, usually for time and cost that are appropriate to both the risks and the risk tolerance of project stakeholders. It is generally accepted that analyzing uncertainty in the project using quantitative techniques such as Monte Carlo simulation may provide more realism in the estimate of the overall project cost or schedule than a non-probabilistic approach which assumes that the activity durations or line-item cost estimates are deterministic. However it should be recognized that quantitative risk analysis is not always required or appropriate for all projects. For example, qualitative risk analysis may provide enough information for development of effective risk responses, especially for smaller projects. Therefore, during the Plan Risk Management process, the benefits of quantitative risk analysis should be weighed against the effort required to ensure that the additional insights and value justify the additional effort. Partial risk analyses, such as qualitative risk analysis, aim at prioritizing individual risks viewed one at a time and therefore cannot produce measures of overall project risk when all risks are considered simultaneously. Calculating estimates of overall project risk is the focus of the Perform Quantitative Risk Analysis process. Specific project risks are usually best understood and quantified at a detailed level such as the line-item cost or schedule activity level. By contrast, project objectives such as achievement of the projects budget or the schedule are specified at a higher level, often at the level of the total project. An overall risk analysis, such as one that uses quantitative techniques, estimates the implication of all quantified risks on project objectives. The implementation of overall risk analysis using quantitative methods requires Complete and accurate representation of the project objectives built up from individual project elements. Examples of these representations include the project schedule or cost estimate. Identifying risks on individual project elements such as schedule activities or line-item costs at a level of detail that lends itself to specific assessment of individual risks. Including generic risks that have a broader effect than individual project elements. Applying a quantitative method such as Monte Carlo simulation or decision tree analysis that incorporates multiple risks simultaneously in determining overall impact on the overall project objective. 3 Results of the quantitative analysis will be compared to the project plan baseline or current to give management an estimate of the overall project risk and will answer important questions such as What is the probability of meeting the projects objectives How much contingency reserve e.g., reserves or buffers of time, resources, and cost is needed to provide the organization with the level of certainty it requires based upon its risk tolerance What are those parts of the project, such as line-item costs or schedule activities, which contribute the most risk when all risks are considered simultaneously Which individual risks contribute the most to overall project risk Estimating overall project risk using quantitative methods helps distinguish those projects where quantified risks threaten objectives beyond the tolerance of the stakeholders, from those for which the objectives are within acceptable tolerances even when risk is considered. The former may be targeted for vigorous risk responses aimed at protecting those objectives most important to the stakeholders. A high-level comparison of quantitative and qualitative risk analysis processes is presented in Figure 7-1.",perform quantitative risk analysis process provides numerical estimate overall effect risk objectives project based current plans information considering risks simultaneously. results type analysis used evaluate likelihood success achieving project objectives estimate contingency reserves usually time cost appropriate risks risk tolerance project stakeholders. generally accepted analyzing uncertainty project using quantitative techniques monte carlo simulation may provide realism estimate overall project cost schedule non-probabilistic approach assumes activity durations line-item cost estimates deterministic. however recognized quantitative risk analysis always required appropriate projects. example qualitative risk analysis may provide enough information development effective risk responses especially smaller projects. therefore plan risk management process benefits quantitative risk analysis weighed effort required ensure additional insights value justify additional effort. partial risk analyses qualitative risk analysis aim prioritizing individual risks viewed one time therefore cannot produce measures overall project risk risks considered simultaneously. calculating estimates overall project risk focus perform quantitative risk analysis process. specific project risks usually best understood quantified detailed level line-item cost schedule activity level. contrast project objectives achievement projects budget schedule specified higher level often level total project. overall risk analysis one uses quantitative techniques estimates implication quantified risks project objectives. implementation overall risk analysis using quantitative methods requires complete accurate representation project objectives built individual project elements. examples representations include project schedule cost estimate. identifying risks individual project elements schedule activities line-item costs level detail lends specific assessment individual risks. including generic risks broader effect individual project elements. applying quantitative method monte carlo simulation decision tree analysis incorporates multiple risks simultaneously determining overall impact overall project objective. 3 results quantitative analysis compared project plan baseline current give management estimate overall project risk answer important questions probability meeting projects objectives much contingency reserve example. reserves buffers time resources cost needed provide organization level certainty requires based upon risk tolerance parts project line-item costs schedule activities contribute risk risks considered simultaneously individual risks contribute overall project risk estimating overall project risk using quantitative methods helps distinguish projects quantified risks threaten objectives beyond tolerance stakeholders objectives within acceptable tolerances even risk considered. former may targeted vigorous risk responses aimed protecting objectives important stakeholders. high-level comparison quantitative qualitative risk analysis processes presented figure 7-1.,['https://i.ibb.co/vh7xFzK/page-50-png-roi-0-0-98.jpg'],"['perform quantitative risk analysis process provides numerical estimate overall effect risk objective project based current plan information considering risk simultaneously', 'result type analysis used evaluate likelihood success achieving project objective estimate contingency reserve usually time cost appropriate risk risk tolerance project stakeholder', 'generally accepted analyzing uncertainty project using quantitative technique monte carlo simulation may provide realism estimate overall project cost schedule non-probabilistic approach assumes activity duration line-item cost estimate deterministic', 'however recognized quantitative risk analysis always required appropriate project', 'example qualitative risk analysis may provide enough information development effective risk response especially smaller project', 'therefore plan risk management process benefit quantitative risk analysis weighed effort required ensure additional insight value justify additional effort', 'partial risk analysis qualitative risk analysis aim prioritizing individual risk viewed one time therefore cannot produce measure overall project risk risk considered simultaneously', 'calculating estimate overall project risk focus perform quantitative risk analysis process', 'specific project risk usually best understood quantified detailed level line-item cost schedule activity level', 'contrast project objective achievement project budget schedule specified higher level often level total project', 'overall risk analysis one us quantitative technique estimate implication quantified risk project objective', 'implementation overall risk analysis using quantitative method requires complete accurate representation project objective built individual project element', 'example representation include project schedule cost estimate', 'identifying risk individual project element schedule activity line-item cost level detail lends specific assessment individual risk', 'including generic risk broader effect individual project element', 'applying quantitative method monte carlo simulation decision tree analysis incorporates multiple risk simultaneously determining overall impact overall project objective', '3 result quantitative analysis compared project plan baseline current give management estimate overall project risk answer important question probability meeting project objective much contingency reserve example', 'reserve buffer time resource cost needed provide organization level certainty requires based upon risk tolerance part project line-item cost schedule activity contribute risk risk considered simultaneously individual risk contribute overall project risk estimating overall project risk using quantitative method help distinguish project quantified risk threaten objective beyond tolerance stakeholder objective within acceptable tolerance even risk considered', 'former may targeted vigorous risk response aimed protecting objective important stakeholder', 'high-level comparison quantitative qualitative risk analysis process presented figure 7-1.']","['project risk using quantitative', 'project risk using', 'project risk risks considered', 'overall project risk using', 'project risk risks', 'measures overall project risk', 'project overall risk analysis', 'overall project risk risks', 'project risk estimating', 'projects quantified risks']",[],"['project risk using quantitative', 'project risk using', 'project risk risks considered', 'overall project risk using', 'project risk risks', 'measures overall project risk', 'project overall risk analysis', 'overall project risk risks', 'project risk estimating', 'projects quantified risks']"
 Critical Success Factors for the Perform Quantitative Risk Analysis Process,Success in achieving the objectives of quantitative risk analysis depends explicitly on at least the factors described in Sections 7.2.1 through 7.2.6. 3,success achieving objectives quantitative risk analysis depends explicitly least factors described sections 7.2.1 7.2.6. 3,[],['success achieving objective quantitative risk analysis depends explicitly least factor described section 7.2.1 7.2.6. 3'],"['objectives quantitative risk analysis', 'risk analysis', 'quantitative risk', 'risk analysis depends', 'quantitative risk analysis', 'objectives quantitative risk', 'factors described', 'risk analysis depends explicitly', 'quantitative risk analysis depends', 'achieving objectives quantitative risk']",[],"['objectives quantitative risk analysis', 'risk analysis', 'quantitative risk', 'risk analysis depends', 'quantitative risk analysis', 'objectives quantitative risk', 'factors described', 'risk analysis depends explicitly', 'quantitative risk analysis depends', 'achieving objectives quantitative risk']"
 Prior Risk Identification and Qualitative Risk Analysis,The Perform Quantitative Risk Analysis process occurs after the Identify Risks and Perform Qualitative Risk Analysis processes have been completed. Reference to a prioritized list of identified risks ensures that the Perform Quantitative Risk Analysis process will consider all significant risks when analyzing their effects quantitatively.,perform quantitative risk analysis process occurs identify risks perform qualitative risk analysis processes completed. reference prioritized list identified risks ensures perform quantitative risk analysis process consider significant risks analyzing effects quantitatively.,[],"['perform quantitative risk analysis process occurs identify risk perform qualitative risk analysis process completed', 'reference prioritized list identified risk ensures perform quantitative risk analysis process consider significant risk analyzing effect quantitatively']","['quantitative risk analysis process', 'process consider significant risks', 'perform qualitative risk analysis', 'risk analysis process', 'risk analysis process consider', 'perform qualitative risk', 'risks perform qualitative', 'identify risks perform qualitative', 'risk analysis processes', 'risk analysis process occurs']",[],"['quantitative risk analysis process', 'process consider significant risks', 'perform qualitative risk analysis', 'risk analysis process', 'risk analysis process consider', 'perform qualitative risk', 'risks perform qualitative', 'identify risks perform qualitative', 'risk analysis processes', 'risk analysis process occurs']"
 Appropriate Project Model,"An appropriate model of the project should be used as the basis for quantitative risk analysis. Project models most frequently used in quantitative risk analysis include the project schedule for time, line-item cost estimates for cost, decision tree for decisions in the face of uncertainty and other total-project models. Quantitative risk analysis is especially sensitive to the completeness and correctness of the model of the project that is used.",appropriate model project used basis quantitative risk analysis. project models frequently used quantitative risk analysis include project schedule time line-item cost estimates cost decision tree decisions face uncertainty total-project models. quantitative risk analysis especially sensitive completeness correctness model project used.,[],"['appropriate model project used basis quantitative risk analysis', 'project model frequently used quantitative risk analysis include project schedule time line-item cost estimate cost decision tree decision face uncertainty total-project model', 'quantitative risk analysis especially sensitive completeness correctness model project used']","['quantitative risk analysis include', 'risk analysis project models', 'risk analysis include project', 'total project models quantitative', 'models quantitative risk analysis', 'project models quantitative', 'quantitative risk analysis project', 'used quantitative risk analysis', 'project models quantitative risk', 'risk analysis project']",['project models quantitative'],"['quantitative risk analysis include', 'risk analysis project models', 'risk analysis include project', 'total project models quantitative', 'models quantitative risk analysis', 'quantitative risk analysis project', 'used quantitative risk analysis', 'project models quantitative risk', 'risk analysis project']"
 Commitment to Collecting High Quality Risk Data,"Often high-quality data about risks are not available in any historic database and should be gathered by interviews, workshops, and other means using expert judgment of those present. Collection of risk data requires resources and time as well as management support.",often high-quality data risks available historic database gathered interviews workshops means using expert judgment present. collection risk data requires resources time well management support.,[],"['often high-quality data risk available historic database gathered interview workshop mean using expert judgment present', 'collection risk data requires resource time well management support']","['quality data risks', 'data risks available', 'collection risk data', 'risk data', 'risks available historic database', 'quality data risks available', 'data risks available historic', 'risk data requires', 'collection risk data requires', 'risk data requires resources']",[],"['quality data risks', 'data risks available', 'collection risk data', 'risk data', 'risks available historic database', 'quality data risks available', 'data risks available historic', 'risk data requires', 'collection risk data requires', 'risk data requires resources']"
 Unbiased Data,"Success in gathering risk analysis data requires the ability to recognize when biases occur and combating that bias or developing other unbiased sources of the data. Bias in risk data can occur for many reasons, but two common sources of bias are cognitive bias and motivational bias.",success gathering risk analysis data requires ability recognize biases occur combating bias developing unbiased sources data. bias risk data occur many reasons two common sources bias cognitive bias motivational bias.,[],"['success gathering risk analysis data requires ability recognize bias occur combating bias developing unbiased source data', 'bias risk data occur many reason two common source bias cognitive bias motivational bias']","['success gathering risk analysis', 'gathering risk analysis', 'gathering risk analysis data', 'sources data bias risk', 'data bias risk data', 'risk analysis data requires', 'risk data', 'data bias risk', 'risk analysis data', 'risk data occur']",[],"['success gathering risk analysis', 'gathering risk analysis', 'gathering risk analysis data', 'sources data bias risk', 'data bias risk data', 'risk analysis data requires', 'risk data', 'data bias risk', 'risk analysis data', 'risk data occur']"
 Overall Project Risk Derived from Individual Risks,"The Perform Quantitative Risk Analysis process is based upon a methodology that correctly derives the overall project risk from the individual risks. In risk analysis of cost and schedule, for example, an appropriate method is Monte Carlo simulation. A decision tree is an appropriate method for making decisions when future events are not certain, using the probability and impact of all risks, and combining their effect to derive an overall project measure such as value or cost. In each of these methods, the risks are specified at the level of the detailed tasks or line-item costs and incorporated into the model of the project to calculate effects on objectives such as schedule or cost for the entire project, by combining those risks. 4",perform quantitative risk analysis process based upon methodology correctly derives overall project risk individual risks. risk analysis cost schedule example appropriate method monte carlo simulation. decision tree appropriate method making decisions future events certain using probability impact risks combining effect derive overall project measure value cost. methods risks specified level detailed tasks line-item costs incorporated model project calculate effects objectives schedule cost entire project combining risks. 4,[],"['perform quantitative risk analysis process based upon methodology correctly derives overall project risk individual risk', 'risk analysis cost schedule example appropriate method monte carlo simulation', 'decision tree appropriate method making decision future event certain using probability impact risk combining effect derive overall project measure value cost', 'method risk specified level detailed task line-item cost incorporated model project calculate effect objective schedule cost entire project combining risk']","['quantitative risk analysis process', 'risk analysis process based', 'risk analysis', 'risk analysis process', 'perform quantitative risk analysis', 'overall project risk', 'derives overall project risk', 'risks risk analysis cost', 'project risk', 'risks risk analysis']","['overall project risk', 'derives overall project risk', 'project risk']","['quantitative risk analysis process', 'risk analysis process based', 'risk analysis', 'risk analysis process', 'perform quantitative risk analysis', 'risks risk analysis cost', 'risks risk analysis']"
