Concept,Description,Cleaned_Description,References
 Documenting the Results of the Plan Risk Management Process,"The results of risk management planning are documented in the risk management plan. The plan serves to provide all project stakeholders with a common view of how the risk-related activities of the project will be handled, what has been agreed upon, and a description of the stakeholders involvement and responsibilities in these activities. An overview of the key areas of focus is given in Figure 4-1. Depending upon the size and complexity of the project, some or all of the following elements will be present in a risk management plan. Introduction Project description Risk management methodology Risk management organization Roles, responsibilities, and authority Stakeholder risk tolerance Criteria for success Risk management tools and guidelines for use Thresholds and corresponding definitions Templates Communications plan Strategy and Risk breakdown structure. 2",results risk management planning documented risk management plan. plan serves provide project stakeholders common view risk-related activities project handled agreed upon description stakeholders involvement responsibilities activities. overview key areas focus given figure 4-1. depending upon size complexity project following elements present risk management plan. introduction project description risk management methodology risk management organization roles responsibilities authority stakeholder risk tolerance criteria success risk management tools guidelines use thresholds corresponding definitions templates communications plan strategy risk breakdown structure. 2,['https://i.ibb.co/tmCYPy6/page-35-png-roi-0-0-96.jpg']
 IDENTIFY RISKS,"A risk cannot be managed unless it is first identified. Consequently, after risk management planning has been completed, the first process in the iterative Project Risk Management process aims to identify all the knowable risks to project objectives. It is, however, impossible to identify all the risks at the outset of a project. Over time, the level of project risk exposure changes as a result of the decisions and actions taken previously in the project internal change and of externally imposed change. The purpose of risk identification is to identify risks to the maximum extent that is practicable. The fact that some risks are unknowable or emergent requires the Identify Risk process to be iterative, repeating the Identify Risks process to find new risks which have become knowable since the previous iteration of the process. When a risk is first identified, potential responses may also be identified at the same time. These should be recorded during the Identify Risks process and considered for immediate action if such action is appropriate. Where such responses are not implemented immediately, these should be considered during the Plan Risk Responses process.",risk cannot managed unless first identified. consequently risk management planning completed first process iterative project risk management process aims identify knowable risks project objectives. however impossible identify risks outset project. time level project risk exposure changes result decisions actions taken previously project internal change externally imposed change. purpose risk identification identify risks maximum extent practicable. fact risks unknowable emergent requires identify risk process iterative repeating identify risks process find new risks become knowable since previous iteration process. risk first identified potential responses may also identified time. recorded identify risks process considered immediate action action appropriate. responses implemented immediately considered plan risk responses process.,[]
 Critical Success Factors for the Identify Risks Process,The practices described in Sections 5.2.1 through 5.2.10 will maximize the value and effectiveness of the Identify Risks process and enhance the likelihood of identifying as many risks as practicable.,practices described sections 5.2.1 5.2.10 maximize value effectiveness identify risks process enhance likelihood identifying many risks practicable.,[]
 Early Identification,"Risk identification should be performed as early as possible in the project lifecycle, recognizing the paradox that uncertainty is high in the initial stages of a project so there is often less information on which to base the risk identification. Early risk identification enables key project decisions to take maximum account of risks inherent in the project, and may result in changes to the project strategy. It also maximizes the time available for development and implementation of risk responses, which enhances efficiency since responses taken early are often normally less costly than later ones. 2",risk identification performed early possible project lifecycle recognizing paradox uncertainty high initial stages project often less information base risk identification. early risk identification enables key project decisions take maximum account risks inherent project may result changes project strategy. also maximizes time available development implementation risk responses enhances efficiency since responses taken early often normally less costly later ones. 2,[]
 Iterative Identification,"Since not all risks can be identified at any given point in the project, it is essential that risk identification is repeated throughout the project life cycle. This should be done periodically, at a frequency determined during the Plan Risk Management process. Risk identification might also be repeated at key milestones in the project, or whenever there is significant change to the project or its operating environment.",since risks identified given point project essential risk identification repeated throughout project life cycle. done periodically frequency determined plan risk management process. risk identification might also repeated key milestones project whenever significant change project operating environment.,[]
 Emergent Identification,"In addition to invoking the Identify Risks process as defined in the project plan, the Project Risk Management process should permit risks to be identified at any time, not limited to formal risk identification events or regular reviews.",addition invoking identify risks process defined project plan project risk management process permit risks identified time limited formal risk identification events regular reviews.,[]
 Comprehensive Identification,A broad range of sources of risk should be considered to ensure that as many uncertainties as possible that might affect objectives have been identified.,broad range sources risk considered ensure many uncertainties possible might affect objectives identified.,[]
 Explicit Identification of Opportunities,The Identify Risks process should ensure opportunities are properly considered.,identify risks process ensure opportunities properly considered.,[]
 Multiple Perspectives,The Identify Risks process should take input from a broad range of project stakeholders to ensure that all perspectives are represented and considered. Limiting risk identification to the immediate project team is unlikely to expose all knowable risks.,identify risks process take input broad range project stakeholders ensure perspectives represented considered. limiting risk identification immediate project team unlikely expose knowable risks.,[]
 Risks Linked to Project Objectives,"Each identified project risk should relate to at least one project objective time, cost, quality, scope, etc., noting that the PMBOK Guide defines risk as an uncertain event or condition that, if it occurs, has a positive or a negative effect on a projects objectives. Consideration of each project objective during the Identify Risks process will assist in identifying risks, noting that some risks may affect more than one objective.",identified project risk relate least one project objective time cost quality scope etc. noting pmbok guide defines risk uncertain event condition occurs positive negative effect projects objectives. consideration project objective identify risks process assist identifying risks noting risks may affect one objective.,[]
 Complete Risk Statement,"Identified risks should be clearly and unambiguously described, so that they can be understood by those responsible for risk assessment and risk response planning. Single words or phrases such as resources or logistics are inadequate and do not properly communicate the nature of the risk. More detailed risk descriptions are required which explicitly state the uncertainty and its causes and effects. 2",identified risks clearly unambiguously described understood responsible risk assessment risk response planning. single words phrases resources logistics inadequate properly communicate nature risk. detailed risk descriptions required explicitly state uncertainty causes effects. 2,[]
 Ownership and Level of Detail,"Risks can be identified at a number of levels of detail. A generalized or high-level description of risk can make it difficult to develop responses and assign ownership, while describing risks in a lot of detail can create a great deal of work. Each risk should be described at a level of detail at which it can be assigned to a single risk owner with clear responsibility and accountability for its management. Trigger conditions should also be identified where this is possible and appropriate.",risks identified number levels detail. generalized high-level description risk make difficult develop responses assign ownership describing risks lot detail create great deal work. risk described level detail assigned single risk owner clear responsibility accountability management. trigger conditions also identified possible appropriate.,[]
 Objectivity,"All human activities are susceptible to bias, especially when dealing with uncertainty. Both motivational biases, where someone is trying to bias the result in one direction or another, or cognitive biases, where biases occur as people are using their best judgment and applying heuristics, may occur. This should be explicitly recognized and addressed during the Identify Risks process. Sources of bias should be exposed wherever possible, and their effect on the risk process should be managed proactively. The aim is to minimize subjectivity, and allow open and honest identification of as many risks as possible to the project.",human activities susceptible bias especially dealing uncertainty. motivational biases someone trying bias result one direction another cognitive biases biases occur people using best judgment applying heuristics may occur. explicitly recognized addressed identify risks process. sources bias exposed wherever possible effect risk process managed proactively. aim minimize subjectivity allow open honest identification many risks possible project.,[]
 Tools and Techniques for the Identify Risks Process,"A range of tools and techniques is available for risk identification. These fall into the following three categories, as illustrated in Figure 5-1 2",range tools techniques available risk identification. fall following three categories illustrated figure 5-1 2,['https://i.ibb.co/pQ2BYKX/page-39-png-roi-0-0-95.jpg']
 Historical Review,"Historical reviews are based on what occurred in the past, either on this project, or other similar projects in the same organization, or comparable projects in other organizations. Historical review approaches rely on careful selection of comparable situations which are genuinely similar to the current project, and filtering of data to ensure that only relevant previous risks are considered. In each case, the risks identified in the selected historical situation should be considered, asking whether they or similar risks might arise in this project.",historical reviews based occurred past either project similar projects organization comparable projects organizations. historical review approaches rely careful selection comparable situations genuinely similar current project filtering data ensure relevant previous risks considered. case risks identified selected historical situation considered asking whether similar risks might arise project.,[]
 Current Assessments,"Current assessments rely on detailed consideration of the current project, analyzing its characteristics against given frameworks and models in order to expose areas of uncertainty. Unlike historical review approaches, current assessment techniques do not rely on outside reference points, but are based purely on examination of the project.",current assessments rely detailed consideration current project analyzing characteristics given frameworks models order expose areas uncertainty. unlike historical review approaches current assessment techniques rely outside reference points based purely examination project.,[]
 Creativity Techniques,"A wide range of creativity techniques can be used for risk identification, which encourages project stakeholders to use their imagination to find risks which might affect the project. The outcomes or effectiveness of these techniques depend on the ability of participants to think creatively. These techniques can be used either singly or in groups, and employ varying degrees of structure. These techniques depend on the ability of participants to think creatively, and their success is enhanced by use of a skilled facilitator. Each category of risk identification technique has strengths and weaknesses, and no single technique can be expected to reveal all knowable risks. Consequently, the Identify Risks process for a particular project should use a combination of techniques, perhaps selecting one from each category. For example, a project may choose to use a risk identification checklist historical review, together with assumptions analysis current assessment and brainstorming creativity. Use of a risk breakdown structure which organizes the categories of potential risks on the project, a prompt list, or a set of generic list categories may assist in ensuring that as many sources of risk as practicable have been addressed, while recognizing that no such tools are complete nor can they replace original thinking. 2 Whichever risk identification techniques are used, it is important that identified risks are unambiguously described in order to ensure that the project risk process is focused on the actual risks and not distracted or diluted by non-risks. Use of structured risk descriptions can ensure clarity. Risk meta-language offers a useful way of distinguishing a risk from its causes and effects, describing each risk using three-part statements in the form As a result of cause, risk may occur, which would lead to effect. The relationship between cause, risk, and effect is shown in Figure 5-2.",wide range creativity techniques used risk identification encourages project stakeholders use imagination find risks might affect project. outcomes effectiveness techniques depend ability participants think creatively. techniques used either singly groups employ varying degrees structure. techniques depend ability participants think creatively success enhanced use skilled facilitator. category risk identification technique strengths weaknesses single technique expected reveal knowable risks. consequently identify risks process particular project use combination techniques perhaps selecting one category. example project may choose use risk identification checklist historical review together assumptions analysis current assessment brainstorming creativity. use risk breakdown structure organizes categories potential risks project prompt list set generic list categories may assist ensuring many sources risk practicable addressed recognizing tools complete replace original thinking. 2 whichever risk identification techniques used important identified risks unambiguously described order ensure project risk process focused actual risks distracted diluted non-risks. use structured risk descriptions ensure clarity. risk meta-language offers useful way distinguishing risk causes effects describing risk using three-part statements form result cause risk may occur would lead effect. relationship cause risk effect shown figure 5-2.,['https://i.ibb.co/mcRP0Ys/page-41-png-roi-0-0-91.jpg']
 Documenting the Results of the Identify Risks Process,"The results from the Identify Risks process should be recorded in order to capture all relevant information currently available for each identified risk. The main output from the Identify Risks process is the risk register. This includes a properly structured risk description and the nominated risk owner for each risk, and may also include information on the causes and effects of the risk, trigger conditions, and preliminary responses. 3",results identify risks process recorded order capture relevant information currently available identified risk. main output identify risks process risk register. includes properly structured risk description nominated risk owner risk may also include information causes effects risk trigger conditions preliminary responses. 3,[]
 PERFORM QUALITATIVE RISK ANALYSIS,"The Perform Qualitative Risk Analysis process assesses and evaluates characteristics of individually identified project risks and prioritizes risks based on agreed-upon characteristics. Assessing individual risks using qualitative risk analysis evaluates the probability that each risk will occur and the effect of each individual risk on the project objectives. As such it does not directly address the overall risk to project objectives that results from the combined effect of all risks and their potential interactions with each other. This can however be achieved through use of quantitative risk analysis techniques see Chapter 7. One step in the analysis is to categorize risks according to their sources or causes. If several risks arise from a common source, sometimes called a root cause, risk responses may be more effective when they focus on addressing this root cause. Identifying common effects from groups of risks allows identification of the areas of greatest risk exposure e.g. to the project completion date, the budget, or a particular deliverables scope, facilitating risk response focus in these areas. The methods of qualitative risk analysis are applied to the list of risks created or updated by the Identify Risks process to provide project management with the characteristics of the risks that have the most influence positive or negative on achieving the projects objectives. Risks that are assessed as high priority to either threaten or to enhance the achievement of project objectives will be an important focus in the Plan Risk Responses process. They may be further analyzed, such as in the analysis of the overall project risk that is discussed in Perform Quantitative Risk Analysis process.",perform qualitative risk analysis process assesses evaluates characteristics individually identified project risks prioritizes risks based agreed-upon characteristics. assessing individual risks using qualitative risk analysis evaluates probability risk occur effect individual risk project objectives. directly address overall risk project objectives results combined effect risks potential interactions other. however achieved use quantitative risk analysis techniques see chapter 7. one step analysis categorize risks according sources causes. several risks arise common source sometimes called root cause risk responses may effective focus addressing root cause. identifying common effects groups risks allows identification areas greatest risk exposure example. project completion date budget particular deliverables scope facilitating risk response focus areas. methods qualitative risk analysis applied list risks created updated identify risks process provide project management characteristics risks influence positive negative achieving projects objectives. risks assessed high priority either threaten enhance achievement project objectives important focus plan risk responses process. may analyzed analysis overall project risk discussed perform quantitative risk analysis process.,[]
 Critical Success Factors for the Perform Qualitative Risk Analysis Process,"Several factors that lead to successful qualitative risk analysis are described in Sections 6.2.1 through 6.2.4, and summarized in Figure 6-1. Agreement of the project stakeholders is a fundamental criterion and a common theme. The agreed-upon approach is the foundation of process credibility. Then, agreed-upon definitions enable high-quality information to be collected. Finally, with these conditions in place, the process can be executed reliably, which contributes to the credibility of its outputs. 3 Figure 6 -1. Building Risk Analysis Credibility",several factors lead successful qualitative risk analysis described sections 6.2.1 6.2.4 summarized figure 6-1. agreement project stakeholders fundamental criterion common theme. agreed-upon approach foundation process credibility. agreed-upon definitions enable high-quality information collected. finally conditions place process executed reliably contributes credibility outputs. 3 figure 6 -1. building risk analysis credibility,['https://i.ibb.co/z8CsMT6/page-44-png-roi-0-0-93.jpg']
 Use Agreed Upon Approach,"The process is based on an agreed-upon approach to this assessment that is applied across all of the identified risks in any project. By the nature of project risk, all risks may be assessed according to probability of occurrence and impact on individual objectives should the risk occur. Other factors may be considered in determining the importance of a risk as follows Urgency proximity. Risks requiring near term responses may be considered more urgent to address. Indicators of urgency can include the lead time necessary to execute a risk response and the clarity of symptoms and warning signs also known as detectability that may trigger the response. Manageability. Some risks are not manageable and it would be a waste of resources to attempt to address them. The project team may examine these and decide to Go forward, perhaps establishing a contingency reserve. Stop or re-scope the project because these risks pose an unmanageable threat or an opportunity that should not be missed with high probability and consequences. Inform the customer of the risks and ask for a decision from their point of view. Impact external to the project. A risk may increase in importance if it affects the enterprise beyond the project.",process based agreed-upon approach assessment applied across identified risks project. nature project risk risks may assessed according probability occurrence impact individual objectives risk occur. factors may considered determining importance risk follows urgency proximity. risks requiring near term responses may considered urgent address. indicators urgency include lead time necessary execute risk response clarity symptoms warning signs also known detectability may trigger response. manageability. risks manageable would waste resources attempt address them. project team may examine decide go forward perhaps establishing contingency reserve. stop re-scope project risks pose unmanageable threat opportunity missed high probability consequences. inform customer risks ask decision point view. impact external project. risk may increase importance affects enterprise beyond project.,[]
 Use Agreed Upon Definitions of Risk Terms,"The risk assessment should be based on agreed-upon definitions of important terms, and those definitions should be used consistently when assessing each risk. The use of definitions, for example, of levels of probability and of impact on objectives, assists the providers of the information in giving realistic assessments for each risk, and facilitates the communication of the results to management and other stakeholders. 3",risk assessment based agreed-upon definitions important terms definitions used consistently assessing risk. use definitions example levels probability impact objectives assists providers information giving realistic assessments risk facilitates communication results management stakeholders. 3,[]
 Collect High Quality Information about Risks,"Collection of high-quality information about risks is required. Often this information is not available in any historic database and should be gathered by interviews, workshops, and other means using expert judgment. Data gathered from individuals may be subject to reporting or intentional bias. When this occurs, the bias should be identified and remedied where possible, or a different, unbiased source of information should be found and used.",collection high-quality information risks required. often information available historic database gathered interviews workshops means using expert judgment. data gathered individuals may subject reporting intentional bias. occurs bias identified remedied possible different unbiased source information found used.,[]
 Perform Iterative Qualitative Risk Analysis,"The success of qualitative risk analysis is enhanced if the process is used periodically throughout the project. It is impossible to know in advance all the risks that may occur in a project, therefore the Identify Risks and Perform Qualitative Analysis processes should be repeated periodically for individual risks. The frequency of this effort will be planned in the Plan Risk Management process, but may also depend on events within the project itself.",success qualitative risk analysis enhanced process used periodically throughout project. impossible know advance risks may occur project therefore identify risks perform qualitative analysis processes repeated periodically individual risks. frequency effort planned plan risk management process may also depend events within project itself.,[]
 Tools and Techniques for the Perform Qualitative Risk Analysis Process,The tools and techniques used for assessing individual risks will identify the risks that are important to the projects success. This process is illustrated in Figure 6-2. 3,tools techniques used assessing individual risks identify risks important projects success. process illustrated figure 6-2. 3,['https://i.ibb.co/p4yDNdh/page-45-png-roi-0-0-93.jpg']
 Select Risk Characteristics that Define Risks Importance,"Qualitative risk analysis tools provide ways to distinguish those risks that are important for response or further analysis from those that are less important. The criteria that make a risk of interest to management are agreed upon in advance and implemented in the tools used. Output from qualitative risk analysis tools includes a listing of risks in priority order or in priority groups e.g., high, moderate, and low. The tools for qualitative risk analysis allow the organization or project stakeholders to specify those levels or combinations of risk characteristics that make a particular risk of interest to management. Most tools assess a risks importance from a combination of probability of occurrence and degree of impact on objectives.",qualitative risk analysis tools provide ways distinguish risks important response analysis less important. criteria make risk interest management agreed upon advance implemented tools used. output qualitative risk analysis tools includes listing risks priority order priority groups example. high moderate low. tools qualitative risk analysis allow organization project stakeholders specify levels combinations risk characteristics make particular risk interest management. tools assess risks importance combination probability occurrence degree impact objectives.,[]
 Collect and Analyze Data,"Assessment of individual risks is based on information collected about them. Therefore, data collection and evaluation tools, including interviews, workshops, and references to databases of prior projects, require management support and attention. It is important to protect against bias in data gathering, which is important when relying on expert judgment for the information.",assessment individual risks based information collected them. therefore data collection evaluation tools including interviews workshops references databases prior projects require management support attention. important protect bias data gathering important relying expert judgment information.,[]
 Prioritize Risks by Probability and Impact on Specific Objectives,Some tools permit distinguishing a risks priority in terms of the affected objective. This capability provides a list of risks that are important for any specific objective of interest to management. This is useful since it is common for risks to have uneven impacts on various project objectives.,tools permit distinguishing risks priority terms affected objective. capability provides list risks important specific objective interest management. useful since common risks uneven impacts various project objectives.,[]
 Prioritize Risks by Probability and Impact on Overall Project,"There are reasons for constructing a measure of a specific risks importance to the entire project as contrasted with its importance to specific objectives. A common reason is for ease of communication with management and other stakeholders. When a single risk prioritization index is needed, the organization should be explicit about how that index is created. Usually the index re ects the organizations preference among objectives. The technique for creating the overall risk priority measure should be documented in the Plan Risk Management process. 3",reasons constructing measure specific risks importance entire project contrasted importance specific objectives. common reason ease communication management stakeholders. single risk prioritization index needed organization explicit index created. usually index ects organizations preference among objectives. technique creating overall risk priority measure documented plan risk management process. 3,[]
 Categorize Risk Causes,"Categorizing risks appropriately may lead to improved analysis of the probability and magnitude of project risk and to effective responses. Understanding the relationships between risks may provide a better understanding of the possibility and magnitude of project risk than if risks are only considered as separate and independent events. Identifying common root causes of a group of risks, for instance, may reveal both the magnitude of the risk event for the group as a whole along with effective strategies that might address several risks simultaneously. Alternatively, some risks may be linked with others in a causal chain, and understanding the chain of risks may lead to a better understanding of the implication of risk for the project. Identifying risks that can occur at the same time or using the same resources for recovery might provide a realistic picture of problems of risk mitigation using scarce resources. Combining the results of the Perform Qualitative Risk Analysis process with the risk breakdown structure see Identify Risks, Chapter 5 can show clusters of priority risks arising from specific sources. A combination of the risk analysis information with the work breakdown structure WBS can show which areas of the project exhibit the most risk. Assessing the high-priority risks impact on one objective, such as the schedule, may indicate which activities to address to reduce that objectives uncertainty. All of these approaches can contribute to the realism and usefulness of the qualitative risk analysis.",categorizing risks appropriately may lead improved analysis probability magnitude project risk effective responses. understanding relationships risks may provide better understanding possibility magnitude project risk risks considered separate independent events. identifying common root causes group risks instance may reveal magnitude risk event group whole along effective strategies might address several risks simultaneously. alternatively risks may linked others causal chain understanding chain risks may lead better understanding implication risk project. identifying risks occur time using resources recovery might provide realistic picture problems risk mitigation using scarce resources. combining results perform qualitative risk analysis process risk breakdown structure see identify risks chapter 5 show clusters priority risks arising specific sources. combination risk analysis information work breakdown structure wbs show areas project exhibit risk. assessing high-priority risks impact one objective schedule may indicate activities address reduce objectives uncertainty. approaches contribute realism usefulness qualitative risk analysis.,[]
 Document the Results of the Perform Qualitative Risk Analysis Process,"The Perform Qualitative Risk Analysis process adds structure to the list of undifferentiated risks see Identify Risks, Chapter 5 into categories of priority. Priorities are usually based on the risks probability of occurring and its potential impact on specific project objectives or on the whole project. Each identified risk is assigned a priority, perhaps by objective or for the entire project. This information is usually stored in the risk register which is easy to use and update with new information. The risk register list of prioritized risks is posted to the project participants who are responsible for further analysis or action to improve the project plan. Risks that are judged to have high priority are segregated for further analysis and response planning and are generally monitored frequently. Risks of low priority to the project may be placed on a watch list and are reviewed less often for changes in their status. 3",perform qualitative risk analysis process adds structure list undifferentiated risks see identify risks chapter 5 categories priority. priorities usually based risks probability occurring potential impact specific project objectives whole project. identified risk assigned priority perhaps objective entire project. information usually stored risk register easy use update new information. risk register list prioritized risks posted project participants responsible analysis action improve project plan. risks judged high priority segregated analysis response planning generally monitored frequently. risks low priority project may placed watch list reviewed less often changes status. 3,[]
 PERFORM QUANTITATIVE RISK ANALYSIS,"The Perform Quantitative Risk Analysis process provides a numerical estimate of the overall effect of risk on the objectives of the project, based on current plans and information, when considering risks simultaneously. Results from this type of analysis can be used to evaluate the likelihood of success in achieving project objectives and to estimate contingency reserves, usually for time and cost that are appropriate to both the risks and the risk tolerance of project stakeholders. It is generally accepted that analyzing uncertainty in the project using quantitative techniques such as Monte Carlo simulation may provide more realism in the estimate of the overall project cost or schedule than a non-probabilistic approach which assumes that the activity durations or line-item cost estimates are deterministic. However it should be recognized that quantitative risk analysis is not always required or appropriate for all projects. For example, qualitative risk analysis may provide enough information for development of effective risk responses, especially for smaller projects. Therefore, during the Plan Risk Management process, the benefits of quantitative risk analysis should be weighed against the effort required to ensure that the additional insights and value justify the additional effort. Partial risk analyses, such as qualitative risk analysis, aim at prioritizing individual risks viewed one at a time and therefore cannot produce measures of overall project risk when all risks are considered simultaneously. Calculating estimates of overall project risk is the focus of the Perform Quantitative Risk Analysis process. Specific project risks are usually best understood and quantified at a detailed level such as the line-item cost or schedule activity level. By contrast, project objectives such as achievement of the projects budget or the schedule are specified at a higher level, often at the level of the total project. An overall risk analysis, such as one that uses quantitative techniques, estimates the implication of all quantified risks on project objectives. The implementation of overall risk analysis using quantitative methods requires Complete and accurate representation of the project objectives built up from individual project elements. Examples of these representations include the project schedule or cost estimate. Identifying risks on individual project elements such as schedule activities or line-item costs at a level of detail that lends itself to specific assessment of individual risks. Including generic risks that have a broader effect than individual project elements. Applying a quantitative method such as Monte Carlo simulation or decision tree analysis that incorporates multiple risks simultaneously in determining overall impact on the overall project objective. 3 Results of the quantitative analysis will be compared to the project plan baseline or current to give management an estimate of the overall project risk and will answer important questions such as What is the probability of meeting the projects objectives How much contingency reserve e.g., reserves or buffers of time, resources, and cost is needed to provide the organization with the level of certainty it requires based upon its risk tolerance What are those parts of the project, such as line-item costs or schedule activities, which contribute the most risk when all risks are considered simultaneously Which individual risks contribute the most to overall project risk Estimating overall project risk using quantitative methods helps distinguish those projects where quantified risks threaten objectives beyond the tolerance of the stakeholders, from those for which the objectives are within acceptable tolerances even when risk is considered. The former may be targeted for vigorous risk responses aimed at protecting those objectives most important to the stakeholders. A high-level comparison of quantitative and qualitative risk analysis processes is presented in Figure 7-1.",perform quantitative risk analysis process provides numerical estimate overall effect risk objectives project based current plans information considering risks simultaneously. results type analysis used evaluate likelihood success achieving project objectives estimate contingency reserves usually time cost appropriate risks risk tolerance project stakeholders. generally accepted analyzing uncertainty project using quantitative techniques monte carlo simulation may provide realism estimate overall project cost schedule non-probabilistic approach assumes activity durations line-item cost estimates deterministic. however recognized quantitative risk analysis always required appropriate projects. example qualitative risk analysis may provide enough information development effective risk responses especially smaller projects. therefore plan risk management process benefits quantitative risk analysis weighed effort required ensure additional insights value justify additional effort. partial risk analyses qualitative risk analysis aim prioritizing individual risks viewed one time therefore cannot produce measures overall project risk risks considered simultaneously. calculating estimates overall project risk focus perform quantitative risk analysis process. specific project risks usually best understood quantified detailed level line-item cost schedule activity level. contrast project objectives achievement projects budget schedule specified higher level often level total project. overall risk analysis one uses quantitative techniques estimates implication quantified risks project objectives. implementation overall risk analysis using quantitative methods requires complete accurate representation project objectives built individual project elements. examples representations include project schedule cost estimate. identifying risks individual project elements schedule activities line-item costs level detail lends specific assessment individual risks. including generic risks broader effect individual project elements. applying quantitative method monte carlo simulation decision tree analysis incorporates multiple risks simultaneously determining overall impact overall project objective. 3 results quantitative analysis compared project plan baseline current give management estimate overall project risk answer important questions probability meeting projects objectives much contingency reserve example. reserves buffers time resources cost needed provide organization level certainty requires based upon risk tolerance parts project line-item costs schedule activities contribute risk risks considered simultaneously individual risks contribute overall project risk estimating overall project risk using quantitative methods helps distinguish projects quantified risks threaten objectives beyond tolerance stakeholders objectives within acceptable tolerances even risk considered. former may targeted vigorous risk responses aimed protecting objectives important stakeholders. high-level comparison quantitative qualitative risk analysis processes presented figure 7-1.,['https://i.ibb.co/vh7xFzK/page-50-png-roi-0-0-98.jpg']
 Critical Success Factors for the Perform Quantitative Risk Analysis Process,Success in achieving the objectives of quantitative risk analysis depends explicitly on at least the factors described in Sections 7.2.1 through 7.2.6. 3,success achieving objectives quantitative risk analysis depends explicitly least factors described sections 7.2.1 7.2.6. 3,[]
 Prior Risk Identification and Qualitative Risk Analysis,The Perform Quantitative Risk Analysis process occurs after the Identify Risks and Perform Qualitative Risk Analysis processes have been completed. Reference to a prioritized list of identified risks ensures that the Perform Quantitative Risk Analysis process will consider all significant risks when analyzing their effects quantitatively.,perform quantitative risk analysis process occurs identify risks perform qualitative risk analysis processes completed. reference prioritized list identified risks ensures perform quantitative risk analysis process consider significant risks analyzing effects quantitatively.,[]
 Appropriate Project Model,"An appropriate model of the project should be used as the basis for quantitative risk analysis. Project models most frequently used in quantitative risk analysis include the project schedule for time, line-item cost estimates for cost, decision tree for decisions in the face of uncertainty and other total-project models. Quantitative risk analysis is especially sensitive to the completeness and correctness of the model of the project that is used.",appropriate model project used basis quantitative risk analysis. project models frequently used quantitative risk analysis include project schedule time line-item cost estimates cost decision tree decisions face uncertainty total-project models. quantitative risk analysis especially sensitive completeness correctness model project used.,[]
 Commitment to Collecting High Quality Risk Data,"Often high-quality data about risks are not available in any historic database and should be gathered by interviews, workshops, and other means using expert judgment of those present. Collection of risk data requires resources and time as well as management support.",often high-quality data risks available historic database gathered interviews workshops means using expert judgment present. collection risk data requires resources time well management support.,[]
 Unbiased Data,"Success in gathering risk analysis data requires the ability to recognize when biases occur and combating that bias or developing other unbiased sources of the data. Bias in risk data can occur for many reasons, but two common sources of bias are cognitive bias and motivational bias.",success gathering risk analysis data requires ability recognize biases occur combating bias developing unbiased sources data. bias risk data occur many reasons two common sources bias cognitive bias motivational bias.,[]
 Overall Project Risk Derived from Individual Risks,"The Perform Quantitative Risk Analysis process is based upon a methodology that correctly derives the overall project risk from the individual risks. In risk analysis of cost and schedule, for example, an appropriate method is Monte Carlo simulation. A decision tree is an appropriate method for making decisions when future events are not certain, using the probability and impact of all risks, and combining their effect to derive an overall project measure such as value or cost. In each of these methods, the risks are specified at the level of the detailed tasks or line-item costs and incorporated into the model of the project to calculate effects on objectives such as schedule or cost for the entire project, by combining those risks. 4",perform quantitative risk analysis process based upon methodology correctly derives overall project risk individual risks. risk analysis cost schedule example appropriate method monte carlo simulation. decision tree appropriate method making decisions future events certain using probability impact risks combining effect derive overall project measure value cost. methods risks specified level detailed tasks line-item costs incorporated model project calculate effects objectives schedule cost entire project combining risks. 4,[]
