Subject,Relation,Object,Object_KeyWords_KeyBert,Object_Synonyms_SBert,Object_References,Subject_KeyWords_KeyBert,Subject_Synonyms_SBert,Subject_References,Subject_Definition,Object_Definition
cost resource assignment,subclass of,scheduling,,,,,,," Each response should be planned in detail in accordance with the methodology of the project and integrated into the project management plan . This entails estimating the resources, costs, and duration updating the budget and schedule . Managements role at this stage is vital for supporting the project manager in developing risk responses .", Figure D15: Expected Monetary Value Calculation when there are Three Uncertain Product Demand Scenarios 96D . Figure D16: Example Histogram from Monte Carlo Simulation of a Project Schedule Source Pertmaster v. 8.0 Primavera PERTmaster .
Risk Response Strategies,part of,Plan Risk Management,"['risk management process requires', 'project risk management', 'project risk management process', 'determines project risk management', 'plan risk management process', 'risk management process defining', 'risk management process', 'risk management activity', 'risk management activity project', 'plan risk management']","['plan risk management process', 'plan risk management']",['https://i.ibb.co/rssfq3x/401.jpg'],"['project level risks', 'develop risk response strategy', 'project level risks overview', 'risk response strategy individual', 'set risk project level', 'set risk project', 'risk project level risks', 'manager develop risk response', 'develop risk response', 'risk project level']","['develop risk response strategy', 'risk response strategy individual', 'develop risk response']",[]," The project manager should develop risk response strategies for individual risks, sets of risks, and project-level risks . The affected stakeholders should be involved in determining the strategies . Once the strategies have been selected, they need to be agreed upon by the entity that approves those strategies .", Plan Risk Management is the process of defining how to conduct risk management activities for a project . The key benefit of this process is that it ensures that the degree type and visibility of risk management are proportionate to both risks and the importance of the project to the organization and the project .
payment risk premium,subclass of,risk sharing,,,,,,," Quantitative models help the correct calculation of the effect of many risks, which are typically identified and quantified at a level of detail below the total project, on the project objectives . The project objectives are typically described at the level of the overall project . The risk of a project being built on a project can be quantified using a quantitative model ."," Risk management reports should be a regular item on every status meeting agenda . Stakeholders perception of the effectiveness of risk management is conditioned in part by the way in which risks are handled as they occur, and by the number of such events . The projects senior-level sponsor should require regular reports on the risks and the planned responses to ensure that stakeholders are aware of the importance of keeping a focus on risk ."
barrier effectiveness,facet of,Good Risk Management Practice,"['project risk management general', 'project risk management effective', 'project risk management', 'project risk management conducted', 'project project risk management', 'project risk management process', 'risk management conducted projects', 'effective project risk management', 'project risk management recognize', 'management project risk management']",[],[],,,," The project manager should develop risk response strategies for individual risks, sets of risks, and project-level risks . The affected stakeholders should be involved in determining the strategies . Once the strategies have been selected, they need to be agreed upon by the entity that approves those strategies .", Project Risk Management is a valuable component of project management and it enhances the value of the other project management processes . Project risk management should be conducted in a manner consistent with existing organizational practices and policies . In additi Initi says project risk management is an important part of the project management process .
probabilistic analysis,studies,probabilistic,,,,,,, The probability of a risk occurring can be specified in several different ways . One common way is to assign levels of risk probability by ranges of probability . One benefit of this approach is that the subject matter experts only need to assess a risks probability within a range rather than as a range .," Bias in risk data can occur for many reasons, but two common sources of bias are cognitive bias and motivational bias . Success in gathering risk analysis data requires the ability to recognize when biases occur and combating that bias or developing other unbiased sources of the data . Bias can be overcome by developing other sources of data ."
expert use utility function,opposite of,non-linear utility function,,,,,,," Some tools permit distinguishing a risks priority in terms of the affected objective . This capability provides a list of risks that are important for any specific objective of interest to management . This is useful since it is common for risks to have uneven impacts on various project objectives, such as project objectives ."," Some tools permit distinguishing a risks priority in terms of the affected objective . This capability provides a list of risks that are important for any specific objective of interest to management . This is useful since it is common for risks to have uneven impacts on various project objectives, such as project objectives ."
PROJECT RISK MANAGEMENT,facet of,project organizational environment,,,,"['project risk managementall', 'practice project risk management', 'project risk management', 'project project risk management', 'project risk management process', 'concept project risk managementall', 'project risk process followed', 'overview project risk management', 'project management risk process', 'project risk managementall project']","['project risk managementall', 'practice project risk management', 'project risk management', 'project project risk management', 'project risk management process', 'concept project risk managementall', 'project risk process followed', 'overview project risk management', 'project management risk process', 'project risk managementall project']",['https://i.ibb.co/pWPHv3r/396.png'], Project Risk Management includes the processes of conducting risk management planning identification analysis response planning response implementation and monitoring risk on a project . The objectives of project risk management are to increase the probability and/or impact of positive risks and to d to d d . Project risk management is to increase ., Project Risk Management includes the processes of conducting risk management planning identification analysis response planning response implementation and monitoring risk on a project . The objectives of project risk management are to increase the probability and/or impact of positive risks and to d to d d . Project risk management is to increase .
project element,part of,schedule,,,,,,," An appropriate model of the project should be used as the basis for quantitative risk analysis . Project models most frequently used in risk analysis include the project schedule for time, line-item cost estimates for cost, decision tree for decisions in the face of uncertainty and other factors . The risk model is used as a basis for the risk analysis of a project .", Figure D15: Expected Monetary Value Calculation when there are Three Uncertain Product Demand Scenarios 96D . Figure D16: Example Histogram from Monte Carlo Simulation of a Project Schedule Source Pertmaster v. 8.0 Primavera PERTmaster .
culture,part of,organization,,,,,,, Project Risk Management cannot take place in isolation . Success relies heavily on communication throughout the process . Risk identification and analysis depend on comprehensive input from stakeholders in a project to ensure that nothing significant is overlooked and that risks are realistically asse asse . Project risk management can't be done in isolation.," The feasibility of risk management planning is dependent upon the features of the organization in which it is carried out . Rules and guidelines defined in the risk management plan should be compatible with the culture of the company, its capabilities from the point of view of people and people and its capabilities ."
risk uncertainty,subclass of,uncertainty,,,,,,," Attention should be given to the possibility that the individual risks in the project model are related to each other . For example, several risks may have a common root cause and therefore are likely to occur together . This possibility is sometimes addressed by correlating the risks that are related ."," Probability models use a quantitative method that addresses uncertainty . The methods should be able to handle the way uncertainty is represented, predominantly as probability of an events occurring or as probability distributions for a range of outcomes . A good example of this is the U.S. Probability Model ."
probability occurrence,subclass of,objective risk,,,,,,," Organizations typically assess a risks priority on an objective from the combination of probability of occurrence and impact on that project objective . Risks are then placed on a probability and impact P-I matrix, such as one shown below . This is based on a matrix such as the probability of an occurrence and the impact of an event on that objective ."," Some tools permit distinguishing a risks priority in terms of the affected objective . This capability provides a list of risks that are important for any specific objective of interest to management . This is useful since it is common for risks to have uneven impacts on various project objectives, such as project objectives ."
Risk Response Strategies,subclass of,deliverable,,,,"['project level risks', 'develop risk response strategy', 'project level risks overview', 'risk response strategy individual', 'set risk project level', 'set risk project', 'risk project level risks', 'manager develop risk response', 'develop risk response', 'risk project level']","['develop risk response strategy', 'risk response strategy individual', 'develop risk response']",[]," The project manager should develop risk response strategies for individual risks, sets of risks, and project-level risks . The affected stakeholders should be involved in determining the strategies . Once the strategies have been selected, they need to be agreed upon by the entity that approves those strategies .", Project Risk Management cannot take place in isolation . Success relies heavily on communication throughout the process . Risk identification and analysis depend on comprehensive input from stakeholders in a project to ensure that nothing significant is overlooked and that risks are realistically asse asse . Project risk management can't be done in isolation.
system sensitivity,has effect,Identify Risks,"['risks process performed project', 'project risks particularly important', 'risk identification project stakeholder', 'project risk associated', 'project risk associated risk', 'project risk', 'project risk participant', 'project risk participant risk', 'identify individual project risks', 'project risk nominated identify']",[],"['https://i.ibb.co/47Jwqzc/409.jpg', 'https://i.ibb.co/St54RBR/410.png']",,,," System dynamics SD is a particular application of influence diagrams see above, and can be used to identify risks within a project situation . Analysis of the model can reveal feed-back and feed-forward loops which lead to unanticipated consequences . The SD model represents entities and information ows in a project .", Identify Risks is the process of identifying individual project risks as well as sources of overall project risk and documenting their characteristics . The key benefit of this process is the documentation of existing project risks . It also brings to the identification of the sources of the overall project risks and the development of the project .
Risk Impact Calculation,facet of,relationship,,,,"['project objective typically', 'quantitative model facilitate correct', 'project objective typically described', 'total project project objective', 'risk typically identified quantified', 'described level total project', 'quantitative model', 'quantitative model facilitate', 'calculation effect risk typically', 'quantified level total project']",['calculation effect risk typically'],[]," Quantitative models help the correct calculation of the effect of many risks, which are typically identified and quantified at a level of detail below the total project, on the project objectives . The project objectives are typically described at the level of the overall project . The risk of a project being built on a project can be quantified using a quantitative model .", Project Risk Management cannot take place in isolation . Success relies heavily on communication throughout the process . Risk identification and analysis depend on comprehensive input from stakeholders in a project to ensure that nothing significant is overlooked and that risks are realistically asse asse . Project risk management can't be done in isolation.
payment risk premium,subclass of,risk transfer,,,,,,," Quantitative models help the correct calculation of the effect of many risks, which are typically identified and quantified at a level of detail below the total project, on the project objectives . The project objectives are typically described at the level of the overall project . The risk of a project being built on a project can be quantified using a quantitative model ."," This strategy entails transference to a third party that is better positioned to address a particular threat or opportunity . This strategy involves transference of resources to third parties that are better able to identify a threat or an opportunity, such as a threat, to a specific threat, or opportunity. This strategy is called ""transference"""
evolution status,facet of,Identify Risks,"['risks process performed project', 'project risks particularly important', 'risk identification project stakeholder', 'project risk associated', 'project risk associated risk', 'project risk', 'project risk participant', 'project risk participant risk', 'identify individual project risks', 'project risk nominated identify']",[],"['https://i.ibb.co/47Jwqzc/409.jpg', 'https://i.ibb.co/St54RBR/410.png']",,,," Project Risk Management process should permit risks to be identified at any time, not limited to formal risk identification events or regular reviews . In addition to invoking the Identify Risks process as defined in the project plan, the project risk management process should also be used to identify risks .", Identify Risks is the process of identifying individual project risks as well as sources of overall project risk and documenting their characteristics . The key benefit of this process is the documentation of existing project risks . It also brings to the identification of the sources of the overall project risks and the development of the project .
Perform Quantitative Risk Analysis,subclass of,risk report,,,,"['project risk assessed', 'project risk evaluating', 'project risk management', 'risk analysis project specified', 'quantitative risk analysis project', 'specified project risk management', 'project specified project risk', 'risk analysis required projects', 'specified project risk', 'overall project risk evaluating']",['quantitative risk analysis project'],"['https://i.ibb.co/pX9K8FC/428.jpg', 'https://i.ibb.co/RzczjnD/429.jpg']", Perform Quantitative Risk Analysis is the process of numerically analyzing the combined effect of identified individual project risks and other sources of uncertainty on overall project objectives . The key benefit of this process is that it quantifies overall project risk exposure and it can also be used to identify project risks ., Identify Risks is the process of identifying individual project risks as well as sources of overall project risk and documenting their characteristics . The key benefit of this process is the documentation of existing project risks . It also brings to the identification of the sources of the overall project risks and the development of the project .
negative effect,subclass of,uncertainty,,,,,,," Mitigation and enhancement are the most widely applicable and widely used response strategies . Here, the approach is to identify actions that will decrease the probability andor the impact of a threat, and increase the probability of an opportunity. Mitigating and enhancement is the most common and most effective response strategies."," Probability models use a quantitative method that addresses uncertainty . The methods should be able to handle the way uncertainty is represented, predominantly as probability of an events occurring or as probability distributions for a range of outcomes . A good example of this is the U.S. Probability Model ."
source bias,facet of,key aspect risk approach,,,,,,," Bias in risk data can occur for many reasons, but two common sources of bias are cognitive bias and motivational bias . Success in gathering risk analysis data requires the ability to recognize when biases occur and combating that bias or developing other unbiased sources of the data . Bias can be overcome by developing other sources of data ."," Identify Risks is carried out in order to develop a comprehensive list of all knowable uncertainties that could have an effect on the projects objectives . Brainstorming allows all participants to speak their mind and contribute to the discussion Can involve all key stakeholders, therefore can be difficult to arrange and expensive ."
urgency,instance of,factor,,,,,,," Project planning tools are used to turn the chosen strategies into concrete actions and to integrate these into existing plans . The corresponding actions may be unconditional i.e., integrated into the project management plan or contingent on a trigger condition and predefined as a contingency response strategy . Project planners use tools such as project planning tools to turn strategy into concrete action plans ."," A risk identification questionnaire can be presented as a special form of checklist see D.2.1.4, where possible risks are shown in question format for example . The client may change the requirement after project starts . Alternatively a risk identification questionnaire can be used to present the headings from a prompt list . No templates or examples are presented ."
test assumption constraint,subclass of,list assumption constraint,,,,,,," This technique requires three steps 1. List assumptions and constraints for the project . Test assumptions by asking two questions a. Could the assumptionconstraint be false? If it were false, would one or more project objectives be affected positively or negatively? If both questions are answered Yes, generate a risk . The results can be documented in table form, as shown in Figure D1 ."," This technique requires three steps 1. List assumptions and constraints for the project . Test assumptions by asking two questions a. Could the assumptionconstraint be false? If it were false, would one or more project objectives be affected positively or negatively? If both questions are answered Yes, generate a risk . The results can be documented in table form, as shown in Figure D1 ."
technical approach,subclass of,decision-making,,,,,,," An example of an approach is given in Table D1. Strengths and weaknesses are shown . The CSFs for Effective Application Planning Meetings and Analysis are shown below . The approach has strengths and weaknesses, such as the ability to involve core team members and stakeholder analysis ."," Project planning tools are used to turn the chosen strategies into concrete actions and to integrate these into existing plans . The corresponding actions may be unconditional i.e., integrated into the project management plan or contingent on a trigger condition and predefined as a contingency response strategy . Project planners use tools such as project planning tools to turn strategy into concrete action plans ."
Plan Risk Management,has part,risk review,,,,"['risk management process requires', 'project risk management', 'project risk management process', 'determines project risk management', 'plan risk management process', 'risk management process defining', 'risk management process', 'risk management activity', 'risk management activity project', 'plan risk management']","['plan risk management process', 'plan risk management']",['https://i.ibb.co/rssfq3x/401.jpg'], Plan Risk Management is the process of defining how to conduct risk management activities for a project . The key benefit of this process is that it ensures that the degree type and visibility of risk management are proportionate to both risks and the importance of the project to the organization and the project ., Project Risk Management is a valuable component of project management and it enhances the value of the other project management processes . Project risk management should be conducted in a manner consistent with existing organizational practices and policies . In additi Initi says project risk management is an important part of the project management process .
project schedule assumption list,subclass of,breakdown structure,,,,,,," This technique requires three steps 1. List assumptions and constraints for the project . Test assumptions by asking two questions a. Could the assumptionconstraint be false? If it were false, would one or more project objectives be affected positively or negatively? If both questions are answered Yes, generate a risk . The results can be documented in table form, as shown in Figure D1 ."," The risk breakdown structure RBS is a hierarchical framework of potential sources of risk to a project . An organization may develop a generic RBS for use across all its projects, or a project may use a project-specific RBS . A partial example RBS has been shown below ."
Risk Response Strategies,facet of,change schedule,,,,"['project level risks', 'develop risk response strategy', 'project level risks overview', 'risk response strategy individual', 'set risk project level', 'set risk project', 'risk project level risks', 'manager develop risk response', 'develop risk response', 'risk project level']","['develop risk response strategy', 'risk response strategy individual', 'develop risk response']",[]," The project manager should develop risk response strategies for individual risks, sets of risks, and project-level risks . The affected stakeholders should be involved in determining the strategies . Once the strategies have been selected, they need to be agreed upon by the entity that approves those strategies .", Figure D15: Expected Monetary Value Calculation when there are Three Uncertain Product Demand Scenarios 96D . Figure D16: Example Histogram from Monte Carlo Simulation of a Project Schedule Source Pertmaster v. 8.0 Primavera PERTmaster .
technical,subclass of,project management,,,,,,," An industry knowledge base is a special case of a checklist see above, and is used similarly . No templates or examples are presented . No examples or examples of industry knowledge bases are presented in this article . Industry knowledge bases can be used as a checklist or a checklist to create a knowledge base .", Project Risk Management includes the processes of conducting risk management planning identification analysis response planning response implementation and monitoring risk on a project . The objectives of project risk management are to increase the probability and/or impact of positive risks and to d to d d . Project risk management is to increase .
Add Risk Responses to the Risk Register,subclass of,unique identifier,,,,"['risk response', 'risk accordance risk response', 'related information risk recorded', 'recorded risk register', 'risk response plan set', 'response related information risk', 'risk recorded risk register', 'information risk recorded', 'risk response plan', 'accordance risk response plan']",[],[], The response-related information for each risk is recorded in the risk register and updated regularly . Any interested stakeholder should be able to rapidly access all the information required to verify their responsibilities and manage the risk in accordance with the risk response plan . The set of residual risks and their priorities are clearly identified and recorded .," A broad range of sources of risk should be considered to ensure that as many uncertainties as possible that might affect objectives have been identified . The risk of a government failure to meet objectives is to be considered, experts say . The U.S. government should be aware of the potential risks associated with a failure to reach objectives ."
Risk Breakdown Structure RBS,facet of,project type,,,,"['risk breakdown', 'risk breakdown structure rb', 'breakdown structure rb hierarchical', 'generic risk breakdown structure', 'risk breakdown structure', 'example generic risk breakdown', 'risk project organization', 'risk project organization develop', 'source risk project organization', 'generic risk breakdown']",['risk breakdown structure rb'],['https://i.ibb.co/sVKWJMx/page-95-png-roi-0-0-99.jpg']," The risk breakdown structure RBS is a hierarchical framework of potential sources of risk to a project . An organization may develop a generic RBS for use across all its projects, or a project may use a project-specific RBS . A partial example RBS has been shown below ."," An appropriate model of the project should be used as the basis for quantitative risk analysis . Project models most frequently used in risk analysis include the project schedule for time, line-item cost estimates for cost, decision tree for decisions in the face of uncertainty and other factors . The risk model is used as a basis for the risk analysis of a project ."
course action,part of,tornado diagram,,,,,,," Project planning tools are used to turn the chosen strategies into concrete actions and to integrate these into existing plans . The corresponding actions may be unconditional i.e., integrated into the project management plan or contingent on a trigger condition and predefined as a contingency response strategy . Project planners use tools such as project planning tools to turn strategy into concrete action plans ."," An influence diagram is a diagrammatic representation of a project situation, showing the main entities, decision points, uncertainties, and outcomes . The influence diagram can identify risks when combined with sensitivity analysis or Monte Carlo simulation to reveal sources of risk within the project . An example is shown below ."
condition,part of,process,,,,,,," Scenario analysis for risk response planning involves defining several plausible alternative scenarios e.g. no change and all goes to plan, disaster occurs, utopia etc. The different scenarios may require different risk responses that can be described and evaluated for their cost and effectiveness . Risk response planning can be based on a number of scenarios ."," It is the nature of projects that circumstances change as they are planned and executed . The amount of information available about risks will usually increase as time goes on . Some risks will occur while others will not, new risks will arise or be discovered, and the characteristics of those a project will change ."
risk discussion,subclass of,recorded analysis,,,,,,," One risk, if it occurs, may affect the probability or impact of other risks . Deciding on the response strategy may require a compromise, since some proposed responses may be mutually exclusive or counterproductive . Risk response planning also needs to take a holistic view of all proposed responses and make sure they are coherent ."," Assessment of individual risks is based on information collected about them . Data collection and evaluation tools, including interviews, workshops, and references to databases of prior projects, require management support and attention . It is important to protect against bias in data gath. Assessment of individuals risks should be based on the information collected ."
generic risk checklist,subclass of,risk checklist,,,,,,," Identify Risks is carried out in order to develop a comprehensive list of all knowable uncertainties that could have an effect on the projects objectives . Brainstorming allows all participants to speak their mind and contribute to the discussion Can involve all key stakeholders, therefore can be difficult to arrange and expensive .", Identify Risks is the process of identifying individual project risks as well as sources of overall project risk and documenting their characteristics . The key benefit of this process is the documentation of existing project risks . It also brings to the identification of the sources of the overall project risks and the development of the project .
high-priority risk,subclass of,Identify Risks,"['risks process performed project', 'project risks particularly important', 'risk identification project stakeholder', 'project risk associated', 'project risk associated risk', 'project risk', 'project risk participant', 'project risk participant risk', 'identify individual project risks', 'project risk nominated identify']",[],"['https://i.ibb.co/47Jwqzc/409.jpg', 'https://i.ibb.co/St54RBR/410.png']",,,," The selection and prioritization of risks must be linked to the project objectives . The risk management plan will define the relative importance to be assigned to these objectives e.g. reliability takes precedence over time, etc. This may be in the form of numerical weights that can be applied to create a single weighted sum over all objectives for each risk .", Identify Risks is the process of identifying individual project risks as well as sources of overall project risk and documenting their characteristics . The key benefit of this process is the documentation of existing project risks . It also brings to the identification of the sources of the overall project risks and the development of the project .
maintained,subclass of,Identify Risks,"['risks process performed project', 'project risks particularly important', 'risk identification project stakeholder', 'project risk associated', 'project risk associated risk', 'project risk', 'project risk participant', 'project risk participant risk', 'identify individual project risks', 'project risk nominated identify']",[],"['https://i.ibb.co/47Jwqzc/409.jpg', 'https://i.ibb.co/St54RBR/410.png']",,,," An analytical technique to determine the essential features and relationships of components in the project management plan to establish a reserve for the schedule duration, budget, estimated cost, or funds for a project . Tracking the state of the reserve through project execution will provide an insight into the state .", Identify Risks is the process of identifying individual project risks as well as sources of overall project risk and documenting their characteristics . The key benefit of this process is the documentation of existing project risks . It also brings to the identification of the sources of the overall project risks and the development of the project .
PROJECT RISK MANAGEMENT,studies,project success,,,,"['project risk managementall', 'practice project risk management', 'project risk management', 'project project risk management', 'project risk management process', 'concept project risk managementall', 'project risk process followed', 'overview project risk management', 'project management risk process', 'project risk managementall project']","['project risk managementall', 'practice project risk management', 'project risk management', 'project project risk management', 'project risk management process', 'concept project risk managementall', 'project risk process followed', 'overview project risk management', 'project management risk process', 'project risk managementall project']",['https://i.ibb.co/pWPHv3r/396.png'], Project Risk Management includes the processes of conducting risk management planning identification analysis response planning response implementation and monitoring risk on a project . The objectives of project risk management are to increase the probability and/or impact of positive risks and to d to d d . Project risk management is to increase .," An appropriate model of the project should be used as the basis for quantitative risk analysis . Project models most frequently used in risk analysis include the project schedule for time, line-item cost estimates for cost, decision tree for decisions in the face of uncertainty and other factors . The risk model is used as a basis for the risk analysis of a project ."
risk appetite,instance of,attitude,,,,,,, Identify Risks is the process of identifying individual project risks as well as sources of overall project risk and documenting their characteristics . The key benefit of this process is the documentation of existing project risks . It also brings to the identification of the sources of the overall project risks and the development of the project .," All human activities are susceptible to bias, especially when dealing with uncertainty . Bias occur as people are using their best judgment and applying heuristics . Both motivational biases and cognitive biases may occur, such as cognitive biases, may occur . People are trying to bias the result in one direction or another, or cognitive biases ."
cost forecast,instance of,forecast,,,,,,," Crystal Ball v. 7.3.8 from Oracle Hyperion Decisioneering . Figure D17.17.8 is an example of a Monte Carlo simulation of a project cost estimate . Project cost estimates are based on Monte Carlo Simulation of a Project Cost Estimate . Crystal Ball is Oracle's version of the Crystal Ball, v.7.8 ."," The evolution of the variance values over time should be analyzed in order to evaluate how the risk profile is changing, whether previous actions are having the expected effect and whether additional actions are required . The Earned Value formulae of the to complete performance index can be used to analyze the evolution of variance values ."
Individual Risks and Overall Project Risk,facet of,project,,,,"['consider project risk level', 'risk overall project', 'risk project applies project', 'project risk management', 'consider project risk', 'project risk level individual', 'project risk level', 'project risk individual risk', 'risk overall project risk', 'project overall project risk']","['consider project risk level', 'risk overall project', 'project risk management', 'consider project risk', 'project risk level individual', 'project risk level', 'project risk individual risk', 'risk overall project risk', 'project overall project risk']",[]," It is useful to consider project risk at two levels: individual risks and overall project risk . Individual risks are specific events or conditions that might affect project objectives . An individual risk may positively or negatively affect one or more of the project objectives, elements, or tasks . A project risk may negatively affect the outcome of a project ."," An appropriate model of the project should be used as the basis for quantitative risk analysis . Project models most frequently used in risk analysis include the project schedule for time, line-item cost estimates for cost, decision tree for decisions in the face of uncertainty and other factors . The risk model is used as a basis for the risk analysis of a project ."
